Tweet,Student,"Sentiment (positive, negative, or Neutral)"
pirelli winter carving edge 185/65 r15 88t URL pirelli,Aaron Fogle,neutral
its winter in florida,Aaron Fogle,neutral
me encanta pero let me tell you about the precio URL,Aaron Fogle,negative
winter bike commuting: brake only on the rear wheel to avoid spinouts on slippery surface commuterswr wrawesome wrtalk,Aaron Fogle,neutral
"latest ksre hort newsletter: ks turf conference info, compost maintenance, winter power equipment storage, &amp; more - URL",Aaron Fogle,neutral
outside my brother's dining room window in michigan. the park is closed for the winter. looks bleak. URL,Aaron Fogle,negative
i liked a AT_USER video URL winter gold eye shadow winged liner nude lip | sonjdradeluxe,Aaron Fogle,positive
"rt AT_USER winter arrived this morning -1 at 9am! along with it, worry about the future of our little rescue as i learned... URL",Aaron Fogle,negative
"AT_USER ohhh i see, hahaha this winter will probably be really cold due to the wind ;3;",Aaron Fogle,negative
rt AT_USER wish this was spring snow melting smfh gonna be a long winter in wisco,Aaron Fogle,negative
"fiery, filling and nutritious: winter is here! \ud83e\udd84 lentils, chipotles, chorizo sweet potato &amp; carrots\u2026 URL",Aaron Nussbaum,positive
"AT_USER love yourself bc i do, food is friends in winter",Aaron Nussbaum,positive
rt AT_USER i only like winter bc my hair will actually stay straight \ud83e\udd17,Aaron Nussbaum,positive
rt AT_USER i love winter bc you get to wear baggy clothes that aren't form fitting and hide if you're fat that day or not wearing a \u2026,Aaron Nussbaum,positive
pastel grunge winter styles available at URL grunge pastelgoth winterstyle URL,Aaron Nussbaum,neutral
i entered the meadows passtime contest to make the most of my winter at meadows! URL,Aaron Nussbaum,positive
i don't like winter URL,Aaron Nussbaum,negative
"rt AT_USER be sure you're prepared for the winter season, and the packs of roaming hungry wolves that comes with it.",Aaron Nussbaum,neutral
"AT_USER AT_USER yeah, old \""nuclear winter\"" models were way off, but newer science never made it into public consciousness.",Aaron Nussbaum,neutral
rt AT_USER winter is definitly coming \u2744\ufe0f\ud83c\udf28\u2603\u26c4\ufe0f,Aaron Nussbaum,neutral
rt AT_USER prologue winter rides - starting this saturday 28th at 9am. find out more: URL URL,Aaron Nussbaum,neutral
URL snow plough on castors because it's going to be a tough winter. be prepared folks! buy this now before the rush,Aaron Nussbaum,negative
"byz continues winter storm warning valid at nov 24, 5:00 pm mst till nov 26, 5:00 am mst URL",Aaron Nussbaum,negative
winter is coming URL,Aaron Nussbaum,neutral
pimentel pitches for my winter ball team. interesting signing...,Aaron Nussbaum,neutral
ucwater research URL,Aaron Nussbaum,neutral
check out men/women beanie with pom pom winter hat beanie URL via AT_USER,Aaron Nussbaum,neutral
winter is here whitetea regisloisel fibra smalltree URL,Aaron Nussbaum,neutral
rt AT_USER during winter season there is always this two types of people URL,Aaron Nussbaum,neutral
"a winter walk at forest farm, cardiff \u2013 plus win a \u00a375 targetdry voucher URL on AT_USER",Aaron Nussbaum,positive
winter dress is now ready \u2b50 talvimekko valmis winterfashion sewing weather winternature snowytrees frozen ma\u2026 URL,Aaron Nussbaum,positive
\u266b palace winter - menton (3:11) detektorfm np,Aaron Nussbaum,neutral
history and holiday mix at 16th annual winter celebration on dec. 5 at jacksonville's mandarin historical\u00a0park URL,Aaron Nussbaum,positive
discount: magical nights of lights &amp; winter adventure at lanier islands URL atl atlcheap,Aaron Nussbaum,positive
good advice for prospects with a home to sell first! URL,Aaron Nussbaum,positive
its so hot ugh winter i miss ya mtvstars one direction,Aaron Nussbaum,negative
tonight: AT_USER headlines the echo with AT_USER winter (AT_USER tix: URL URL,Aaron Nussbaum,neutral
15 essentials for your winter driving survival kit URL URL,Aaron Nussbaum,neutral
i really do like the winter tho,Aaron Nussbaum,positive
gathering winter fuel? these are the cheapest prices around south devon URL URL,Aaron Nussbaum,positive
europe winter forecast: harsh cold to bypass london and paris; storms to frequent southern france to italy and alps URL,Aaron Nussbaum,negative
winter dry skin + trying to put on foundation sux,Aaron Nussbaum,negative
"this is the belted kingfisher, the noisiest bird in our neighborhood. @ winter park, florida URL",Aaron Nussbaum,negative
yosemite national park in winter URL,Aaron Nussbaum,neutral
rt AT_USER winter squash recipe roundup from rdn bloggers! AT_USER AT_USER AT_USER AT_USER AT_USER htt\u2026,Aaron Nussbaum,positive
mc photo aia-712 lehigh valley weather winter storms pennsylvania URL URL,Aaron Nussbaum,negative
can't beat a good book winter motivation trainhard hawaii dreamon fb URL,Aaron Nussbaum,positive
nothing like driving from lakeland to winter haven to find out class is canceled. \ud83d\ude05\ud83d\ude05\ud83d\ude05,Aaron Nussbaum,negative
rt AT_USER winter fairytale by stefanhefele URL photography popularphotos retweet URL,Aaron Nussbaum,positive
AT_USER i've been waiting for this winter. it'll be my first full one here and definitely enjoy things that only make sense for the season.,Aaron Nussbaum,positive
winter weather advisory issued november 24 at 2:26pm mst until november 26 at 5:00am mst by nws URL wxmt,Aaron Nussbaum,negative
whiteface is opening on thanksgiving = it's officially winter!! skitheface URL,Aaron Nussbaum,positive
rt AT_USER mcofs winter lectures 2015-2016: URL aberdeen dundee perth inverness edinburgh glasgow stirling a\u2026,Aaron Nussbaum,neutral
"rt AT_USER winter has well and truly arrived in valdisere, with nearly a metre of snow falling over the weekend ski URL",Aaron Nussbaum,positive
four cool reasons to visit helsinki in winter URL via AT_USER,Aaron Nussbaum,positive
my godson's feet well not be cold this winter!! minifuzzysocks \u2764\ufe0f\ud83d\udc99 URL,Aaron Nussbaum,positive
"driving to winter springs, sharing real-time road info with wazers in my area. eta 4:42 pm using AT_USER - drive social.",Aaron Nussbaum,neutral
"AT_USER AT_USER fantastic winter concert this evening, well done to all involved.",Aaron Nussbaum,positive
saw a caps winter classic toque on the metro and remembered i meant to buy one. good looking merch,Aaron Nussbaum,positive
"AT_USER like &amp; listen to my new track \""winter trapn\"" \ud83c\udfb5 URL",Aaron Nussbaum,neutral
"rt AT_USER two-thirds of scots believe they could be more prepared for winter, according to new survey URL URL",Alexander Milberger,neutral
winter health giveaway time! win a AT_USER from AT_USER ($299.99 value!) giveaway breathe URL,Alexander Milberger,negative
hand-knitted earth &amp; sky winter scarf with matching tassels URL etsy winterscarf URL,Alexander Milberger,neutral
winter precip. warnings &amp; watches wntr wx advsy in efct frm 6 pm thu to 6 am cst sat ksn mobile apps: URL,Alexander Milberger,negative
its cold winter nights and best way to enjoy is listening to AT_USER romantic song humsafar falak onrepeat URL,Alexander Milberger,neutral
rt AT_USER winter is here get your jf boards now AT_USER and customxAT_USER URL,Alexander Milberger,neutral
folks rjb is going gangbusters on trying to totally ruin his career in these next few winter months. im shutting this hot mother down yall,Alexander Milberger,neutral
winter tip 1: keeping your car off the street will speed up snow removal. cars impeding snow plowing can be ticketed and / or towed.,Alexander Milberger,positive
"//stay racked up this winter,trust me there is not a better quality\u2026 URL",Alexander Milberger,positive
sd43 ramps up for winter weather with a web page in case it snows URL,Alexander Milberger,positive
AT_USER i'm on winter n mott already,Alexander Milberger,neutral
live more beautifully shares her top boot picks for staying warm and stylish this winter URL glamcrowd,Alexander Milberger,positive
rt AT_USER the winter acoustic tour starts 11/30 tix still available in select cities! bestfriends notengaged hallmarkmovie URL,Alexander Milberger,neutral
sale 2015 autumn winter hat genuine luxury mink fur hat for women knit fur cap beanie cap\u2026 URL URL,Alexander Milberger,neutral
hockey chicago blackhawks cuffed knit pom winter hat unisex nhl hockey URL sports URL,Alexander Milberger,neutral
rt AT_USER surprise snowstorm turns beijing into winter wonderland (photos) URL URL,Alexander Milberger,positive
rt AT_USER the first snow of the season has come and many people are enjoying their first sleigh ride for the winter. great village \u2026,Alexander Milberger,positive
rt AT_USER schnee will have his debut this saturday at the AT_USER winter meet. probably won't go on the walk but will see.,Alexander Milberger,neutral
rt AT_USER but i love the tie sweater image great for fall/winter.,Alexander Milberger,positive
"imnotagrinchbut i do not like winter, and the holiday season is in the winter.",Alexander Milberger,negative
rt AT_USER what i wish winter looked like vs what actually looks like URL,Alexander Milberger,positive
got gold? love this new coat from lol kids limited sizes reserve yours today ship tomorrow stay cozy this winter URL,Alexander Milberger,neutral
drinking a winter wheat by AT_USER @ pilsner.nu \u2014 URL photo,Alexander Milberger,positive
sweet logo! and a good account to follow! pretty and smart. :) URL,Alexander Milberger,positive
rt AT_USER see AT_USER black friday concert at AT_USER for AT_USER winter arts &amp; soul fest! URL https\u2026,Alexander Milberger,neutral
rt AT_USER winter or summer powerby4realeze_,Alexander Milberger,neutral
testing.. URL,Alexander Milberger,neutral
you can tell i'm not excited for winter by the fact that i already googled this and autumn isn't even over yet URL,Alexander Milberger,negative
why you should ditch the gym this winter URL outdoors training workout urbanwomenfitness themerisoiutechnique,Alexander Milberger,positive
"rt AT_USER investigate the first colony's dark secret in \""jamestown's dark winter\"", tonight on AT_USER URL",Alexander Milberger,negative
i want to spend my winter nights with you\ud83d\udc99\ud83d\udd1a,Alexander Milberger,positive
foxborough: nhl winter classic: boston bruins vs. montreal canadiens at gillette stadium - jan 01 \u25ba ticket info: URL,Alexander Milberger,neutral
"rt AT_USER just like we talked about on our AT_USER , more dual lane mid action with bane and winter wyvern on AT_USER",Alexander Milberger,neutral
nike wants you to wear sneakers all winter long. just say no: URL URL,Alexander Milberger,negative
rt AT_USER a beautiful winter wonderland AT_USER tescochristmas merrychristmas AT_USER AT_USER AT_USER URL,Alexander Milberger,positive
looking for a great fall (almost winter) read? here's a list of recommended 2015 titles. URL,Alexander Milberger,positive
"rt AT_USER we\u2019ve said how good marrow can be for you, but this woman in ny is brewing it into her coffee\u2026would you try it? URL",Alexander Milberger,neutral
"winter welcome! with my favorite john varvatos coat and jacket. pow! jv nyc @ new york, new york URL",Alexander Milberger,neutral
would rather cut off my arm than go thru another winter here in vt \ud83d\ude44,Alexander Milberger,negative
rt AT_USER 1 winter album URL,Alexander Milberger,neutral
winter storm warning issued november 24 at 2:20pm mst until november 25 at 11:00pm mst by nws URL wxmt,Alexander Milberger,negative
winter weather statement - expires: - winter weather statement for county in effect until | URL,Alexander Milberger,negative
rt AT_USER it's time for the winter mani! rt &amp; follow to win our nail art tool kit. ends 25th nov. t&amp;cs. URL gui,Alexander Milberger,positive
"first snowfall of winter. and from what i hear, not the last! @ mile end, montreal URL",Alexander Milberger,positive
vintage roffe ski jacket winter coat women's size 14 1980's yellow thinsulate URL URL,Alexander Milberger,neutral
rt AT_USER dave dombrowski: hanley ramirez had said he's interested in winter ball but nothing had been settled. just speculation so far \u2026,Alexander Milberger,neutral
new winter hat...check\u2714\ufe0f \ud83d\ude02 URL,Alexander Milberger,positive
rt AT_USER accepting winter clothing donations for syrian refugees at xc nationals URL AT_USER acxc,Alexander Milberger,positive
winter storm watch for beaver county in ok until 12:00pm saturday. radar at URL okwx,Alexander Milberger,negative
anthony farnell\u2019s winter forecast: we could see record warm start across canada: after two brutal winters acro... URL,Alexander Milberger,neutral
rt AT_USER hot oil treatments are great - especially during dry winter months. i'm a fan of natural coconut oil! hairtip,Andrew Cho,positive
"\u2744 brace yourself, winter is coming \u2744 boopmynose dogsofinstaworld dogsofinstagram animal animals animallovers \u2026 URL",Andrew Cho,negative
rt AT_USER a big need to get winter ready,Andrew Cho,neutral
feel all tired after today. i think it's this winter weather hitting me \ud83d\ude22 oh well who's looking forward to abit of winterwonderland \ud83d\ude01\ud83d\ude01,Andrew Cho,negative
rt AT_USER winter is not coming: i have never been dead: i am a journalist: i am alarmed that my namesake has me trending!,Andrew Cho,neutral
rt AT_USER stop the cold before it starts... URL,Andrew Cho,negative
rt AT_USER winter makes my skin sooooooooooo f***in dry,Andrew Cho,negative
there are so many delicious soups on bitsnbiteswithtina to keep you warm all winter URL recipes,Andrew Cho,positive
"rt AT_USER rosters have been announced for the winter classic alumni game. they're, uh, they're pretty good. URL",Andrew Cho,positive
"rt AT_USER thanks to AT_USER and a team of volunteers, our garden is now a winter wonderland - get a ticket to see.. twforum URL",Andrew Cho,positive
"rt AT_USER winter miles, summer smiles. URL",Andrew Cho,positive
rt AT_USER when it's finally winter URL,Andrew Cho,neutral
rt AT_USER every dry day shortens winter URL,Andrew Cho,neutral
totally forgot today was my registration for winter. \ud83d\ude27,Andrew Cho,neutral
klaus tunes in with an aspen local tv show to talk about celebrating winter! URL,Andrew Cho,positive
chicago blackhawks chicago blackhawks cuffed knit pom winter hat unisex nhl\u2026 URL nhl hockey URL,Andrew Cho,neutral
5 dec. maze 'winter edition' opening!! \ud83d\udd08 \udbba\udf58 URL,Andrew Cho,positive
winter 2016\ud83d\udc9b,Andrew Cho,neutral
rt AT_USER AT_USER and AT_USER teamed up to preview winter sports at mhs. check out the previews here-&gt; URL,Andrew Cho,neutral
don't want to buy new clothes because i don't have a bump yet and don't know when i will and how big it will be but i need winter stuff \ud83d\ude21\ud83d\ude21,Andrew Cho,negative
"rt AT_USER tomorrow milano, italy european premiere of inmotionfilm /burton winter launch! magazzini generali 10pm seeuthere http\u2026",Andrew Cho,neutral
englishbulldog bogey's new feeding bowl..: went to the winter woofstock this weekend in toronto with bogey an... URL,Andrew Cho,neutral
"rt AT_USER \""christophe...\"" just when you thought htgawm's winter finale couldn't get any more epic. catch up on now! URL",Andrew Cho,positive
winter \u2744\ufe0f winter cold holidays topliketags freezing snow rain christmas snowing blizzard wintertime stay\u2026 URL,Andrew Cho,neutral
omg AT_USER pride is what u had bb girl i'm what you have URL,Andrew Cho,neutral
rt AT_USER got7 &lt;mad winter edition&gt; released online: melon URL got7 mad_winter_edition \uace0\ubc31\uc1a1 URL,Andrew Cho,neutral
5 winter destinations to consider this holiday season URL via AT_USER,Andrew Cho,neutral
rt AT_USER winter .... URL,Andrew Cho,neutral
"a little something from wenger's fall/winter collection. rt AT_USER has it been mentioned yet, what is lucho wearing?",Andrew Cho,neutral
rt jeanculture: URL caped crusaders 2015-2016 fall autumn winter womens trend watch fashion \u2026 URL,Andrew Cho,neutral
your winter home-maintenance checklist URL by AT_USER URL,Andrew Cho,neutral
rt AT_USER who needs structured exercise in winter when there's snow shoveling canmore powder outofshape URL,Andrew Cho,neutral
using spice rub for thanksgiving turkey URL - afterward come down to our winter open house sun URL,Andrew Cho,neutral
winter classic alumni game rosters announced - the boston bruins and montreal canadiens announced their rosters... URL,Andrew Cho,neutral
are you prepared for winter weather school announcements? please make sure that you have updated your parent... URL,Andrew Cho,neutral
"things not even the same no more, summer way different then how my fall &amp; winter finna be",Andrew Cho,neutral
"AT_USER \""winter will come and ask what you did with you summer",Andrew Cho,neutral
oh baby it's getting winter cold out there! URL URL,Andrew Cho,neutral
"two cows in a field on a cold winter's night. one cow says to the other, \""i don't know about you but i'm fresian\"".",Andrew Cho,neutral
rt AT_USER you gonna be my winter story and i want you to be always here\ud83d\udc99,Andrew Cho,neutral
"6 spots you'll want to escape to this winter URL money dogecoin bitcoin news,\u00a0#love,\u00a0#photography,#fashion,\u00a0#healt\u2026",Andrew Cho,neutral
rt AT_USER i need to visit nyc this winter \u2744\ufe0f\ud83d\uddfd URL,Andrew Cho,neutral
"i'm working on my winter forecast!! i expect to release it saturday, unless i work really hard and get it out today.",Andrew Cho,neutral
rt AT_USER the winter finale was brilliant on so many levels. whoever said the show isn't giving viola a chance to shine is terribly mist\u2026,Andrew Cho,positive
paris at peace. winter morning. just calm. may this come back quickly and scars heal with \u2026 URL URL,Andrew Cho,neutral
"even the anti-winter crowd had to admit that campus looked beautiful after saturday\u2019s snow. thanks, kaycie leigh! URL",Andrew Cho,positive
free in the dead of winter by abbey pen baker. historical crime thriller. plsrt. AT_USER snrtg cwa URL,Andrew Cho,neutral
"AT_USER i need new winter clothes , i'm not even ready for all that \ud83d\ude24",Andrew Cho,neutral
here is a surprise winter box giveaway to enter. a boxful of winter surprises! AT_USER URL,Andrew Cho,positive
japanese dairy market: butter prices may hit record levels this winter {nikkei} URL,Andrew Cho,neutral
rt AT_USER my gas bill be so high in the winter time \ud83d\ude44,Andrew Dyer Jr,negative
new event. winter storm warning from 11/25/2015 5:00 am to 11/26/2015 5:00 pm mst for sublette county. URL wywx,Andrew Dyer Jr,neutral
"our winter craft sale starts monday, nov. 30 at 10 a.m. come get some crafts! URL URL",Andrew Dyer Jr,neutral
12 days till i enter the coldest winter of my life and i cant wait,Andrew Dyer Jr,positive
rt AT_USER esse ano a winter girlfriend de harry styles bem que poderia ser louis tomlinson fica a dica AT_USER,Andrew Dyer Jr,positive
rt AT_USER s/o to winter 2k15 11/23-11/24 rip,Andrew Dyer Jr,neutral
rt AT_USER winter is coming.... URL,Andrew Dyer Jr,neutral
about winter: i've got the blahs. must be this weather. and i'm still in shock! AT_USER onmyplaylist statusmessages AT_USER,Andrew Dyer Jr,negative
AT_USER are you coming home for winter?,Andrew Dyer Jr,neutral
AT_USER my winter sky a few nights ago. \u2744\ufe0f URL,Andrew Dyer Jr,neutral
rt AT_USER what a winter day. warming up nicely with the local crew... girona URL,Andrew Dyer Jr,positive
winter is now available for adoption! this female chihuahua is 3mths old. learn more at URL,Andrew Dyer Jr,positive
"\u2018godzilla\u2019 el nino could lead to more flooding, severe weather this winter - URL",Andrew Dyer Jr,negative
2014 women fashion brand autumn and winter women suit hot\u00a0sale URL URL,Andrew Dyer Jr,neutral
"winter is coming...but that's ok because i love watching snowflakes! when it snows, bridgette sits\u2026 URL",Andrew Dyer Jr,positive
"rt AT_USER 20 natives died needlessly from exposure last winter in gallup. the city, its racism and anti-indigenous policies... ht\u2026",Andrew Dyer Jr,negative
"rt AT_USER winter is coming, and snow will come with it. gotseason6",Andrew Dyer Jr,neutral
"AT_USER yes because it's winter and i'm talking about sandals. common sense, totally",Andrew Dyer Jr,neutral
rt AT_USER this mouth-watering AT_USER recipe for steak au poivre will warm you up this winter URL https\u2026,Andrew Dyer Jr,positive
always always eat too much in winter,Andrew Dyer Jr,positive
"i'm all up under him like it's cold, winter time.",Andrew Dyer Jr,positive
"rt AT_USER if you're heading west in ks on thursday, AT_USER issued winter weather advisory: URL map: https:/\u2026",Andrew Dyer Jr,neutral
rt AT_USER the atmosphere of winter URL,Andrew Dyer Jr,neutral
accessoriesforever women winter cold double layered two tone ruffle fringed cold weather fashion sc\u2026 URL,Andrew Dyer Jr,neutral
gotta love vaughn miller broncos fashion winter URL,Andrew Dyer Jr,positive
"as sure as the spring will follow the winter, prosperity and economicgrowth will follow recession.",Andrew Dyer Jr,positive
win scholl foot products via AT_USER win giveaway competition URL,Andrew Dyer Jr,neutral
the memory of winter on my blog URL who gets to decide what makes us beautiful? flash 0.99 sale on winter's rain!,Andrew Dyer Jr,neutral
rt AT_USER a winter look by tiendy fashion URL polyvorestyle,Andrew Dyer Jr,neutral
"sfetsy: just finished this drawing of our winter pony print, inspired by the dala horse. i have a thing for swedis\u2026 URL",Andrew Dyer Jr,neutral
who even likes winter? f*** that all about summer holidays and festivals \ud83d\ude08,Andrew Dyer Jr,negative
"there\u2019s a trick to avoiding the winter blues. don\u2019t distract yourself from the bad weather, get out and embrace it. URL",Andrew Dyer Jr,positive
winter storm watch issued november 24 at 3:09pm cst until november 27 at 12:00am cst by nws URL,Andrew Dyer Jr,neutral
finally rain in dubai \u2764 winter loving \ud83d\ude0a,Andrew Dyer Jr,positive
"a winter storm was forecast to dump up to 8 inches of snow on much of the upper midwest saturday, disrupting travel in chicago after",Andrew Dyer Jr,neutral
riding AT_USER shuttle feels like being in a heated snowglobe today. i embrace you evil winter overlords. winteraction embracewinter,Andrew Dyer Jr,positive
our trip to jacksonville fl for thanksgiving will be a bit like visiting the aussie sunshine coast in winter. i never get the wardrobe right,Andrew Dyer Jr,positive
URL on winter wedding ceremonies. premarital class available skype/facetime see URL prepare 4 unity,Andrew Dyer Jr,neutral
i'd be cold\ud83d\ude02\ud83d\ude02\ud83d\ude02 URL,Andrew Dyer Jr,neutral
i don't want no f***ing braids but i don't need to put no heat on my hair for the whole winter \ud83d\ude44,Andrew Dyer Jr,negative
"6 spots you'll want to escape to this winter URL gameinsight, android, androidgames, ipad, ipadgames, openfollow\u2026",Andrew Dyer Jr,neutral
rt AT_USER two weeks of school thanksgiving break two weeks of school winter break i can do this,Andrew Dyer Jr,positive
lmao carmex dont do s*** but make it worst btw. URL,Andrew Dyer Jr,neutral
AT_USER plz. because that is me and my aesthetic during winter.,Andrew Dyer Jr,positive
rt glanvet ensure your pets are warm and well-cared for this winter by keeping these cold weather tips in mind &gt;&gt; \u2026,Andrew Dyer Jr,positive
enter AT_USER giveaway for a chance to win their new 2015 winter and holiday collections!! URL,Andrew Dyer Jr,neutral
rt AT_USER bethanylilyapril: finished today\u2019s shoot \u270c\ufe0f super tired winter ski christmas dailystar\u2026 URL http\u2026,Andrew Dyer Jr,positive
"is it going to be another long, cold &amp; snowy winter? at 5 &amp; 6, our weather team's outlook &amp; why. novembertoremember wintersolice",Andrew Dyer Jr,neutral
the little prince movie is due out later this winter and there are several books that might pique your interest:... URL,Andrew Dyer Jr,neutral
inws alert - new event. winter storm watch from 11/26/2015 6:00 pm to 11/28/2015 12:00 pm cst for carson... URL,Andrew Dyer Jr,neutral
rt AT_USER it's time for the winter mani! rt &amp; follow for a chance to win our nail art tool kit. ends 25th nov. t&amp;cs apply. https:/\u2026,Angela Huang,positive
rt AT_USER buzzin for winter wonderland on sunday with ma faves\ud83d\udc6d\ud83d\udc6d physcosontour,Angela Huang,positive
winter overshoes URL,Angela Huang,negative
winter is coming. AT_USER,Angela Huang,negative
rt AT_USER get ready for the winter weather with the ultimate aa wintercare kit. follow &amp; rt for the chance to win! URL,Angela Huang,neutral
rt AT_USER long tossing in the winter time has me like... URL,Angela Huang,negative
"rt AT_USER \""winter is not my season!\"" URL",Angela Huang,negative
"nola, interested in learning rubyonrails? we're enrolling for our winter 16' program hosted at AT_USER : URL",Angela Huang,neutral
can i pls rent a boyfriend for the fall/winter season so i have a designated hand warmer and nice sweaters to take :) that would be gr8 thnx,Angela Huang,positive
a cold winter comes. mr putin how about heat turkmen with napalm ? turchia turkey isis russia nato,Angela Huang,negative
"AT_USER when you think a good time, i wanted to do this break but might wait for winter break and do it for new yrs",Angela Huang,neutral
coldness URL,Angela Huang,neutral
sucks how my fav songs from last fall/winter just remind me of how stupid i was lmfaoo,Angela Huang,negative
rt AT_USER me this winter.. URL,Angela Huang,neutral
"the winter had passed and the spring has come, but under the grey sky i feel the same unstoppable distance between us.",Angela Huang,negative
summer's over we wearing polo jackets it's almost winter,Angela Huang,neutral
rt AT_USER perfect date: driving around during winter time and looking at everyone's christmas lights while we sing our favorite s\u2026,Angela Huang,positive
yasss can't let these lips get dry URL,Angela Huang,positive
randy b in booth 43... // santa fe winter market this weekend // for all those in the 505 that been\u2026 URL,Angela Huang,neutral
\u201cbe winter smart\u201d tip: check your tire tread for any signs of uneven wear or damage before winter driving conditions hit.,Angela Huang,neutral
windy silence on the top. \u2744\ud83d\udc07 glittering sparkling frozen snowcrystal wintersun winter hike summit silentmo\u2026 URL,Angela Huang,neutral
rt AT_USER the original chelsea is the ideal boot for winter in the city. now on URL URL,Angela Huang,positive
rt AT_USER retweet if you're happy! (now that's a winter finale!) caskett \u2764\ufe0f\u2764\ufe0f\u2764\ufe0f\u2764\ufe0f\u2764\ufe0f\u2764\ufe0f castle,Angela Huang,positive
rt AT_USER *spritz* what's your favourite winter scent? luxuryfragrances holiday2015 christmasgiftideas perfumes itsawrap ht\u2026,Angela Huang,neutral
so excited for winter wonderland \u2603\ud83c\udf84\u2744\ufe0f\ud83c\udf85\ud83c\udffc\u2728 URL,Angela Huang,positive
